"SITECODE","loss_year","pixel_count","year","disturbed_ha"
"CZ0210175",10,15,2010,1.35
"CZ0210175",11,67,2011,6.03
"CZ0210175",12,28,2012,2.52
"CZ0210175",13,22,2013,1.98
"CZ0210175",14,38,2014,3.42
"CZ0210175",15,40,2015,3.6
"CZ0210175",16,67.9921199679375,2016,6.11929079711437
"CZ0210175",17,63.5747808218002,2017,5.72173027396202
"CZ0210175",18,23,2018,2.07
"CZ0210175",19,263.913868308067,2019,23.7522481477261
"CZ0210175",20,475,2020,42.75
"CZ0210175",21,126.182640954852,2021,11.3564376859367
"CZ0210175",22,56,2022,5.04
"CZ0210175",23,45.1606952426955,2023,4.0644625718426
"CZ0210186",2,1,2002,0.09
"CZ0210186",4,4,2004,0.36
"CZ0210186",5,5,2005,0.45
"CZ0210186",7,5,2007,0.45
"CZ0210186",11,1.88946270942688,2011,0.170051643848419
"CZ0210186",17,5,2017,0.45
"CZ0210186",18,4,2018,0.36
"CZ0210186",21,6,2021,0.54
"CZ0210186",23,10,2023,0.9
"CZ0210409",4,1.84493607282639,2004,0.166044246554375
"CZ0210409",5,0.268867661652621,2005,0.0241980895487359
"CZ0210409",11,2,2011,0.18
"CZ0210409",19,2,2019,0.18
"CZ0210409",20,1.61343971919268,2020,0.145209574727342
"CZ0210421",7,2,2007,0.18
"CZ0210421",12,0.999766707420349,2012,0.0899790036678314
"CZ0210421",20,1,2020,0.09
"CZ0210421",21,2,2021,0.18
"CZ0210714",11,1,2011,0.09
"CZ0210714",21,1,2021,0.09
"CZ0210721",11,0.703394889831543,2011,0.0633055400848389
"CZ0210729",14,0.285286873579025,2014,0.0256758186221123
"CZ0210729",21,6.9817408323288,2021,0.628356674909592
"CZ0210153",5,1.51253938674927,2005,0.136128544807434
"CZ0210153",6,1,2006,0.09
"CZ0210153",20,1,2020,0.09
"CZ0210726",6,2,2006,0.18
"CZ0210726",12,0.999996721744537,2012,0.0899997049570084
"CZ0210708",7,0.21093375980854,2007,0.0189840383827686
"CZ0210708",12,3.09489529579878,2012,0.27854057662189
"CZ0213004",10,1,2010,0.09
"CZ0210720",19,0.42226068302989,2019,0.0380034614726901
"CZ0720013",5,0.695256561040878,2005,0.062573090493679
"CZ0720013",17,15.6738900542259,2017,1.41065010488033
"CZ0720016",4,4.55103603005409,2004,0.409593242704868
"CZ0720016",5,18.0316777229309,2005,1.62285099506378
"CZ0720016",9,6.97554123401642,2009,0.627798711061478
"CZ0720016",10,1.25985485315323,2010,0.113386936783791
"CZ0720016",11,1,2011,0.09
"CZ0720016",12,1,2012,0.09
"CZ0720016",13,4,2013,0.36
"CZ0720016",14,8.1887235045433,2014,0.736985115408897
"CZ0720016",16,1.14055576920509,2016,0.102650019228458
"CZ0720016",17,2.01897194981575,2017,0.181707475483418
"CZ0720016",19,3,2019,0.27
"CZ0720016",20,19,2020,1.71
"CZ0720016",22,5,2022,0.45
"CZ0720033",2,8,2002,0.72
"CZ0720033",3,6.63956010341644,2003,0.59756040930748
"CZ0720033",4,24.0187341794372,2004,2.16168607614934
"CZ0720033",5,239.829496933497,2005,21.5846547240147
"CZ0720033",6,76.8831760399044,2006,6.91948584359139
"CZ0720033",7,2.19407345459331,2007,0.197466610913398
"CZ0720033",8,40.319885449193,2008,3.62878969042737
"CZ0720033",9,7.82239007949829,2009,0.704015107154846
"CZ0720033",10,80,2010,7.2
"CZ0720033",11,37.9554813504219,2011,3.41599332153797
"CZ0720033",12,67.9253805170301,2012,6.11328424653271
"CZ0720033",13,16.6450095123146,2013,1.49805085610831
"CZ0720033",14,54.8013434712775,2014,4.93212091241498
"CZ0720033",15,29.3963808119297,2015,2.64567427307367
"CZ0720033",16,57.9200193111319,2016,5.21280173800187
"CZ0720033",17,70.5845252871513,2017,6.35260727584362
"CZ0720033",18,29.3029072284698,2018,2.63726165056229
"CZ0720033",19,49.9065292596351,2019,4.49158763336716
"CZ0720033",20,71.2337227761745,2020,6.41103504985571
"CZ0720033",21,101.538028016686,2021,9.13842252150178
"CZ0720033",22,54.23469991202,2022,4.8811229920818
"CZ0720033",23,40.3121069786139,2023,3.62808962807525
"CZ0720153",2,22,2002,1.98
"CZ0720153",3,13.0550820529461,2003,1.17495738476515
"CZ0720153",4,1,2004,0.09
"CZ0720153",5,69,2005,6.21
"CZ0720153",6,9.52842998504639,2006,0.857558698654175
"CZ0720153",7,7,2007,0.63
"CZ0720153",8,29.5903878808022,2008,2.66313490927219
"CZ0720153",9,45.3078543096781,2009,4.07770688787103
"CZ0720153",10,22,2010,1.98
"CZ0720153",11,57.1974753439426,2011,5.14777278095484
"CZ0720153",12,9,2012,0.81
"CZ0720153",13,34.9773983359337,2013,3.14796585023403
"CZ0720153",14,46.13242203556,2014,4.1519179832004
"CZ0720153",15,16,2015,1.44
"CZ0720153",16,17,2016,1.53
"CZ0720153",17,31,2017,2.79
"CZ0720153",18,26,2018,2.34
"CZ0720153",19,39,2019,3.51
"CZ0720153",20,1,2020,0.09
"CZ0720153",21,2.48244035243988,2021,0.223419631719589
"CZ0720153",22,13,2022,1.17
"CZ0720153",23,40.7384027242661,2023,3.66645624518394
"CZ0720185",20,3.03188403524109,2020,0.272869563171698
"CZ0720185",21,1.0430381372571,2021,0.0938734323531389
"CZ0720185",22,0.302007496356964,2022,0.0271806746721268
"CZ0720190",1,2.12654314935207,2001,0.191388883441687
"CZ0720190",2,8.2283761203289,2002,0.740553850829601
"CZ0720190",3,0.0336750485002995,2003,0.00303075436502695
"CZ0720190",4,2.27334481477737,2004,0.204601033329964
"CZ0720190",5,14.5729323960841,2005,1.31156391564757
"CZ0720190",6,7,2006,0.63
"CZ0720190",7,17.9160123029724,2007,1.61244110726751
"CZ0720190",8,16.7590696960688,2008,1.50831627264619
"CZ0720190",9,5.17756061255932,2009,0.465980455130339
"CZ0720190",10,1.90350556373596,2010,0.171315500736237
"CZ0720190",11,6.11987547576427,2011,0.550788792818785
"CZ0720190",12,3.93997079133987,2012,0.354597371220589
"CZ0720190",13,9.57776527293026,2013,0.861998874563724
"CZ0720190",14,4.2210479080677,2014,0.379894311726093
"CZ0720190",15,4,2015,0.36
"CZ0720190",16,8.28440916538239,2016,0.745596824884415
"CZ0720190",17,4.70708411931992,2017,0.423637570738792
"CZ0720190",18,2.77609277516603,2018,0.249848349764943
"CZ0720190",19,1.83020168542862,2019,0.164718151688576
"CZ0720190",20,10.9999046325684,2020,0.989991416931152
"CZ0720190",21,11.9908775091171,2021,1.07917897582054
"CZ0720190",22,4.0709912031889,2022,0.366389208287001
"CZ0720190",23,9,2023,0.81
"CZ0720192",2,6.88147506117821,2002,0.619332755506039
"CZ0720192",4,3,2004,0.27
"CZ0720192",5,19.1127202175558,2005,1.72014481958002
"CZ0720192",6,8.50602694414556,2006,0.7655424249731
"CZ0720192",7,8.00013329710055,2007,0.720011996739049
"CZ0720192",8,25.7508892604965,2008,2.31758003344468
"CZ0720192",9,10.1013041944243,2009,0.909117377498187
"CZ0720192",10,17.3416155208834,2010,1.5607453968795
"CZ0720192",11,30.3407589084964,2011,2.73066830176467
"CZ0720192",12,13.6076474189758,2012,1.22468826770782
"CZ0720192",13,7.87060913109963,2013,0.708354821798966
"CZ0720192",14,31.8742851018906,2014,2.86868565917015
"CZ0720192",15,15,2015,1.35
"CZ0720192",16,18.8064986886457,2016,1.69258488197811
"CZ0720192",17,24.3512531109154,2017,2.19161277998239
"CZ0720192",18,30,2018,2.7
"CZ0720192",19,21.800675868988,2019,1.96206082820892
"CZ0720192",20,45.5233768988401,2020,4.09710392089561
